frame.number|frame.time_relative|usb.endpoint_address|usb.transfer_type|usb.urb_type|usb.urb_id|usb.urb_status|usb.data_len|usb.setup.bRequest|usb.setup.wValue|usb.setup.wIndex|usb.setup.wLength|usb.capdata
1|0.000000000|0x80|0x02|'S'|0xffff8ce91037e9c0|-115|0|6|||18|
2|0.000226000|0x80|0x02|'C'|0xffff8ce91037e9c0|0|18|||||
3|0.000246000|0x80|0x02|'S'|0xffff8ce91037e9c0|-115|0|6|||9|
6|0.000491000|0x80|0x02|'C'|0xffff8ce91037e9c0|0|9|||||
7|0.000517000|0x80|0x02|'S'|0xffff8ce91037e9c0|-115|0|6|||511|
8|0.001041000|0x80|0x02|'C'|0xffff8ce91037e9c0|0|511|||||
10521|5.230579000|0x06|0x01|'S'|0xffff8ce9104349c0|-115|20|||||24f041102400004d2412000024000101267ef700
10524|5.231205000|0x06|0x01|'C'|0xffff8ce9104349c0|0|0|||||
10563|5.250218000|0x86|0x01|'C'|0xffff8ce90753ea80|0|4|||||14f04110
10564|5.250220000|0x86|0x01|'S'|0xffff8ce90753ea80|-115|0|||||
10591|5.263216000|0x86|0x01|'C'|0xffff8ce90753e540|0|16|||||1400004d1412000315ddffff1ddd20ff
10592|5.263217000|0x86|0x01|'S'|0xffff8ce90753e540|-115|0|||||
10595|5.264219000|0x86|0x01|'C'|0xffff8ce91037fc00|0|16|||||24f041102400004d2412000325ddffff
10596|5.264219000|0x86|0x01|'S'|0xffff8ce91037fc00|-115|0|||||
10599|5.265232000|0x86|0x01|'C'|0xffff8ce91037e480|0|16|||||2ddd20ff14f041101400004d14120003
10600|5.265233000|0x86|0x01|'S'|0xffff8ce91037e480|-115|0|||||
30555|15.242827000|0x80|0x02|'S'|0xffff8ce9073e1240|-115|0|3|0x0001|0|4|
34556|17.242905000|0x80|0x02|'C'|0xffff8ce9073e1240|-2|0|||||
34631|17.279700000|0x06|0x01|'S'|0xffff8ce9104349c0|-115|24|||||24f041102400004d24110100240000002400087a267df700
34634|17.280137000|0x06|0x01|'C'|0xffff8ce9104349c0|0|0|||||
