frame.number,frame.time_relative,usb.endpoint_address,usb.transfer_type,usb.urb_type,usb.urb_id,usb.urb_status,usb.data_len,usb.setup.bRequest,usb.setup.wValue,usb.setup.wIndex,usb.setup.wLength,usb.capdata
"1","0.000000000","0x80","0x02","'S'","0xffff8ce91037e9c0","-115","0","6",,,"18",
"2","0.000226000","0x80","0x02","'C'","0xffff8ce91037e9c0","0","18",,,,,
"3","0.000246000","0x80","0x02","'S'","0xffff8ce91037e9c0","-115","0","6",,,"9",
"4","0.000265000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"5","0.000266000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"6","0.000491000","0x80","0x02","'C'","0xffff8ce91037e9c0","0","9",,,,,
"7","0.000517000","0x80","0x02","'S'","0xffff8ce91037e9c0","-115","0","6",,,"511",
"8","0.001041000","0x80","0x02","'C'","0xffff8ce91037e9c0","0","511",,,,,
"14","0.001246000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"15","0.001247000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"16","0.002246000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"17","0.002247000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"18","0.003247000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"19","0.003248000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"20","0.004258000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"21","0.004258000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"22","0.005246000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"23","0.005247000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"24","0.006232000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"25","0.006233000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"26","0.007235000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27","0.007236000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"28","0.008247000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"29","0.008248000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"30","0.009246000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"31","0.009247000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"32","0.010250000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"33","0.010251000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"34","0.011246000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"35","0.011247000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"36","0.012246000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"37","0.012247000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"38","0.013230000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"39","0.013231000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"40","0.014246000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
